,Year,Country,Death Confirmed,Outbreak Case,Survival
0,2014,Guinea,40462.0,66190.0,25728.0
1,2014,Liberia,95625.0,210796.0,115171.0
2,2014,Mali,101.0,129.0,28.0
3,2014,Nigeria,303.0,765.0,462.0
5,2014,Sierra Leone,51945.0,192291.0,140346.0
8,2015,Guinea,520071.0,784124.0,264053.0
10,2015,Liberia,999395.0,2237646.0,1238251.0
11,2015,Mali,1320.0,1728.0,408.0
12,2015,Nigeria,1728.0,4320.0,2592.0
14,2015,Sierra Leone,832934.0,2797015.0,1964081.0
17,2015,United States of America,216.0,864.0,648.0
18,2016,Guinea,2536.0,3804.0,1268.0
20,2016,Liberia,4813.0,10680.0,5867.0
24,2016,Sierra Leone,3955.0,14122.0,10167.0
