,Date,Country,Death Confirmed,Outbreak Case,Year,Month
0,2014-08-29,Guinea,430.0,648.0,2014,8
1,2014-08-29,Liberia,694.0,1378.0,2014,8
2,2014-08-29,Nigeria,7.0,19.0,2014,8
3,2014-08-29,Sierra Leone,422.0,1026.0,2014,8
4,2014-09-05,Guinea,517.0,812.0,2014,9
5,2014-09-05,Liberia,1089.0,1871.0,2014,9
6,2014-09-05,Nigeria,8.0,22.0,2014,9
7,2014-09-05,Senegal,0.0,1.0,2014,9
8,2014-09-05,Sierra Leone,491.0,1261.0,2014,9
9,2014-09-08,Guinea,555.0,862.0,2014,9
10,2014-09-08,Liberia,1224.0,2046.0,2014,9
11,2014-09-08,Nigeria,8.0,21.0,2014,9
12,2014-09-08,Senegal,0.0,3.0,2014,9
13,2014-09-08,Sierra Leone,509.0,1361.0,2014,9
14,2014-09-12,Guinea,557.0,861.0,2014,9
15,2014-09-12,Liberia,1137.0,2081.0,2014,9
16,2014-09-12,Nigeria,8.0,21.0,2014,9
17,2014-09-12,Senegal,0.0,3.0,2014,9
18,2014-09-12,Sierra Leone,524.0,1424.0,2014,9
19,2014-09-16,Guinea,595.0,936.0,2014,9
20,2014-09-16,Liberia,1296.0,2407.0,2014,9
21,2014-09-16,Nigeria,8.0,21.0,2014,9
22,2014-09-16,Senegal,0.0,1.0,2014,9
23,2014-09-16,Sierra Leone,562.0,1620.0,2014,9
24,2014-09-18,Guinea,601.0,942.0,2014,9
25,2014-09-18,Liberia,1459.0,2710.0,2014,9
26,2014-09-18,Nigeria,8.0,21.0,2014,9
27,2014-09-18,Senegal,0.0,1.0,2014,9
28,2014-09-18,Sierra Leone,562.0,1673.0,2014,9
29,2014-09-22,Guinea,632.0,1008.0,2014,9
30,2014-09-22,Liberia,1578.0,3022.0,2014,9
31,2014-09-22,Nigeria,8.0,20.0,2014,9
32,2014-09-22,Senegal,0.0,1.0,2014,9
33,2014-09-22,Sierra Leone,593.0,1813.0,2014,9
34,2014-09-24,Guinea,635.0,1022.0,2014,9
35,2014-09-24,Liberia,1677.0,3280.0,2014,9
36,2014-09-24,Nigeria,8.0,20.0,2014,9
37,2014-09-24,Senegal,0.0,1.0,2014,9
38,2014-09-24,Sierra Leone,597.0,1940.0,2014,9
39,2014-09-26,Guinea,648.0,1074.0,2014,9
40,2014-09-26,Liberia,1830.0,3458.0,2014,9
41,2014-09-26,Nigeria,8.0,20.0,2014,9
42,2014-09-26,Senegal,0.0,1.0,2014,9
43,2014-09-26,Sierra Leone,605.0,2021.0,2014,9
44,2014-10-01,Guinea,710.0,1157.0,2014,10
